correct,expected,finger,label,lsl_time,pressed,rt,trial
,,,experiment_start,741305.8815801,,,
,,thumb_little,cue_thumb_little,741307.1497781,,,0
False,thumb_little,,timeout_thumb_little,741311.1497077,,,0
,,thumb_middle,cue_thumb_middle,741314.2530019,,,1
False,thumb_middle,,timeout_thumb_middle,741318.2529741,,,1
,,thumb_ring,cue_thumb_ring,741321.2161503,,,2
False,thumb_ring,,timeout_thumb_ring,741325.2164669,,,2
,,thumb_index,cue_thumb_index,741328.0271366,,,3
False,thumb_index,,timeout_thumb_index,741332.0276663,,,3
,,thumb_little,cue_thumb_little,741335.0596091,,,4
False,thumb_little,,timeout_thumb_little,741339.0596839,,,4
,,thumb_ring,cue_thumb_ring,741341.8604402,,,5
False,thumb_ring,,timeout_thumb_ring,741345.8605331,,,5
,,thumb_index,cue_thumb_index,741348.8280128,,,6
False,thumb_index,,timeout_thumb_index,741352.828098,,,6
,,thumb_middle,cue_thumb_middle,741355.8097201,,,7
False,thumb_middle,,timeout_thumb_middle,741359.8098825,,,7
,,thumb_middle,cue_thumb_middle,741362.9206572,,,8
False,thumb_middle,,timeout_thumb_middle,741366.9210294,,,8
,,thumb_index,cue_thumb_index,741369.7535403,,,9
False,thumb_index,,timeout_thumb_index,741373.7536181,,,9
,,thumb_ring,cue_thumb_ring,741376.7244184,,,10
False,thumb_ring,,timeout_thumb_ring,741380.7244892,,,10
,,thumb_index,cue_thumb_index,741383.5441888,,,11
False,thumb_index,,timeout_thumb_index,741387.5442688,,,11
,,thumb_middle,cue_thumb_middle,741390.721767,,,12
False,thumb_middle,,timeout_thumb_middle,741394.7218827,,,12
,,thumb_little,cue_thumb_little,741397.7947152,,,13
False,thumb_little,,timeout_thumb_little,741401.795516,,,13
,,thumb_middle,cue_thumb_middle,741404.8711342,,,14
False,thumb_middle,,timeout_thumb_middle,741408.8712296,,,14
,,thumb_ring,cue_thumb_ring,741411.7059518,,,15
False,thumb_ring,,timeout_thumb_ring,741415.7060377,,,15
,,thumb_little,cue_thumb_little,741418.771744,,,16
False,thumb_little,,timeout_thumb_little,741422.7727885,,,16
,,thumb_middle,cue_thumb_middle,741426.0286965,,,17
False,thumb_middle,,timeout_thumb_middle,741430.0287898,,,17
,,thumb_middle,cue_thumb_middle,741433.008317,,,18
False,thumb_middle,,timeout_thumb_middle,741437.0084168,,,18
,,thumb_index,cue_thumb_index,741440.2340945,,,19
False,thumb_index,,timeout_thumb_index,741444.2343188,,,19
,,,break_end,741448.9040924,,,
,,thumb_middle,cue_thumb_middle,741450.1073327,,,20
False,thumb_middle,,timeout_thumb_middle,741454.1074205,,,20
,,thumb_middle,cue_thumb_middle,741457.3648946,,,21
False,thumb_middle,,timeout_thumb_middle,741461.3649988,,,21
,,thumb_little,cue_thumb_little,741464.2627779,,,22
False,thumb_little,,timeout_thumb_little,741468.2628857,,,22
,,thumb_ring,cue_thumb_ring,741471.1204795,,,23
False,thumb_ring,,timeout_thumb_ring,741475.1205579,,,23
,,thumb_middle,cue_thumb_middle,741478.148066,,,24
False,thumb_middle,,timeout_thumb_middle,741482.148571,,,24
,,thumb_index,cue_thumb_index,741484.9610341,,,25
False,thumb_index,,timeout_thumb_index,741488.962118,,,25
,,thumb_ring,cue_thumb_ring,741491.8628077,,,26
False,thumb_ring,,timeout_thumb_ring,741495.862887,,,26
,,thumb_ring,cue_thumb_ring,741498.9654131,,,27
False,thumb_ring,,timeout_thumb_ring,741502.9656444,,,27
,,thumb_index,cue_thumb_index,741506.1092479,,,28
False,thumb_index,,timeout_thumb_index,741510.1099316,,,28
,,thumb_ring,cue_thumb_ring,741513.1446511,,,29
False,thumb_ring,,timeout_thumb_ring,741517.1447293,,,29
,,thumb_index,cue_thumb_index,741520.1192851,,,30
False,thumb_index,,timeout_thumb_index,741524.1193789,,,30
,,thumb_ring,cue_thumb_ring,741527.1510062,,,31
False,thumb_ring,,timeout_thumb_ring,741531.1511112,,,31
,,thumb_index,cue_thumb_index,741534.0467191,,,32
False,thumb_index,,timeout_thumb_index,741538.0468718,,,32
,,thumb_ring,cue_thumb_ring,741540.9778658,,,33
False,thumb_ring,,timeout_thumb_ring,741544.9782843,,,33
,,thumb_index,cue_thumb_index,741548.2678678,,,34
False,thumb_index,,timeout_thumb_index,741552.2679535,,,34
,,thumb_index,cue_thumb_index,741555.1447279,,,35
False,thumb_index,,timeout_thumb_index,741559.1448025,,,35
,,thumb_little,cue_thumb_little,741562.1324652,,,36
False,thumb_little,,timeout_thumb_little,741566.1330379,,,36
,,thumb_little,cue_thumb_little,741569.4285971,,,37
False,thumb_little,,timeout_thumb_little,741573.4286903,,,37
,,thumb_index,cue_thumb_index,741576.6862875,,,38
False,thumb_index,,timeout_thumb_index,741580.6864306,,,38
,,thumb_little,cue_thumb_little,741583.722217,,,39
False,thumb_little,,timeout_thumb_little,741587.7223485,,,39
,,,break_end,741591.1919314,,,
,,thumb_middle,cue_thumb_middle,741592.3621584,,,40
False,thumb_middle,,timeout_thumb_middle,741596.3622565,,,40
,,thumb_little,cue_thumb_little,741599.4979722,,,41
False,thumb_little,,timeout_thumb_little,741603.4980971,,,41
,,thumb_little,cue_thumb_little,741606.5131194,,,42
False,thumb_little,,timeout_thumb_little,741610.513394,,,42
,,thumb_middle,cue_thumb_middle,741613.7924767,,,43
False,thumb_middle,,timeout_thumb_middle,741617.7926541,,,43
,,thumb_little,cue_thumb_little,741620.8495933,,,44
False,thumb_little,,timeout_thumb_little,741624.8496936,,,44
,,thumb_index,cue_thumb_index,741627.9992168,,,45
False,thumb_index,,timeout_thumb_index,741631.9993288,,,45
,,thumb_little,cue_thumb_little,741634.9268729,,,46
False,thumb_little,,timeout_thumb_little,741638.9270039,,,46
,,thumb_little,cue_thumb_little,741641.735833,,,47
False,thumb_little,,timeout_thumb_little,741645.7367155,,,47
,,thumb_index,cue_thumb_index,741648.9912402,,,48
False,thumb_index,,timeout_thumb_index,741652.9913202,,,48
,,thumb_ring,cue_thumb_ring,741655.9718633,,,49
False,thumb_ring,,timeout_thumb_ring,741659.9719387,,,49
,,thumb_little,cue_thumb_little,741663.2465614,,,50
False,thumb_little,,timeout_thumb_little,741667.2466513,,,50
,,thumb_ring,cue_thumb_ring,741670.1892551,,,51
False,thumb_ring,,timeout_thumb_ring,741674.189405,,,51
,,thumb_index,cue_thumb_index,741677.2629791,,,52
False,thumb_index,,timeout_thumb_index,741681.2630887,,,52
,,thumb_little,cue_thumb_little,741684.5336222,,,53
False,thumb_little,,timeout_thumb_little,741688.5343863,,,53
,,thumb_index,cue_thumb_index,741691.3411506,,,54
False,thumb_index,,timeout_thumb_index,741695.3412292,,,54
,,thumb_ring,cue_thumb_ring,741698.211921,,,55
False,thumb_ring,,timeout_thumb_ring,741702.2122097,,,55
,,thumb_ring,cue_thumb_ring,741705.3398496,,,56
False,thumb_ring,,timeout_thumb_ring,741709.3399194,,,56
,,thumb_little,cue_thumb_little,741712.4638068,,,57
False,thumb_little,,timeout_thumb_little,741716.4639486,,,57
,,thumb_middle,cue_thumb_middle,741719.6373755,,,58
False,thumb_middle,,timeout_thumb_middle,741723.6383659,,,58
,,thumb_ring,cue_thumb_ring,741726.652428,,,59
False,thumb_ring,,timeout_thumb_ring,741730.6525113,,,59
,,,break_end,741736.4075635,,,
,,thumb_index,cue_thumb_index,741737.4418419,,,60
False,thumb_index,,timeout_thumb_index,741741.4419257,,,60
,,thumb_middle,cue_thumb_middle,741744.4564952,,,61
False,thumb_middle,,timeout_thumb_middle,741748.4574312,,,61
,,thumb_ring,cue_thumb_ring,741751.4539323,,,62
False,thumb_ring,,timeout_thumb_ring,741755.454032,,,62
,,thumb_middle,cue_thumb_middle,741758.6055358,,,63
False,thumb_middle,,timeout_thumb_middle,741762.6056936,,,63
,,thumb_middle,cue_thumb_middle,741765.4695607,,,64
False,thumb_middle,,timeout_thumb_middle,741769.4696947,,,64
,,thumb_ring,cue_thumb_ring,741772.4362563,,,65
False,thumb_ring,,timeout_thumb_ring,741776.4363243,,,65
,,thumb_little,cue_thumb_little,741779.3565797,,,66
False,thumb_little,,timeout_thumb_little,741783.356705,,,66
,,thumb_middle,cue_thumb_middle,741786.50333,,,67
False,thumb_middle,,timeout_thumb_middle,741790.5033847,,,67
,,thumb_index,cue_thumb_index,741793.4336651,,,68
False,thumb_index,,timeout_thumb_index,741797.433801,,,68
,,thumb_little,cue_thumb_little,741800.6973569,,,69
False,thumb_little,,timeout_thumb_little,741804.6974437,,,69
,,thumb_ring,cue_thumb_ring,741807.5639647,,,70
False,thumb_ring,,timeout_thumb_ring,741811.5640625,,,70
,,thumb_middle,cue_thumb_middle,741814.4900646,,,71
False,thumb_middle,,timeout_thumb_middle,741818.4903678,,,71
,,thumb_ring,cue_thumb_ring,741821.4409354,,,72
False,thumb_ring,,timeout_thumb_ring,741825.4410562,,,72
,,thumb_index,cue_thumb_index,741828.712573,,,73
False,thumb_index,,timeout_thumb_index,741832.7126605,,,73
,,thumb_little,cue_thumb_little,741835.5702129,,,74
False,thumb_little,,timeout_thumb_little,741839.5704662,,,74
