correct,expected,finger,label,lsl_time,pressed,rt,trial
,,,experiment_start,160012.648516041,,,
,,thumb_middle,cue_thumb_middle,160013.908799541,,,0
True,thumb_middle,,press_thumb_middle,160015.290953083,thumb_middle,1.3821456669829786,0
,,thumb_middle,cue_thumb_middle,160018.270416916,,,1
True,thumb_middle,,press_thumb_middle,160019.515498708,thumb_middle,1.2450744590023533,1
,,thumb_index,cue_thumb_index,160022.488977208,,,2
True,thumb_index,,press_thumb_index,160024.160083083,thumb_index,1.6710968329862226,2
,,thumb_ring,cue_thumb_ring,160027.256663916,,,3
True,thumb_ring,,press_thumb_ring,160028.877366625,thumb_ring,1.620694250013912,3
,,thumb_little,cue_thumb_little,160031.861925208,,,4
True,thumb_little,,press_thumb_little,160032.827079208,thumb_little,0.9651435829873662,4
,,thumb_little,cue_thumb_little,160035.850634125,,,5
True,thumb_little,,press_thumb_little,160036.757081833,thumb_little,0.906439499987755,5
,,thumb_index,cue_thumb_index,160040.011475833,,,6
True,thumb_index,,press_thumb_index,160042.141340166,thumb_index,2.1298588330100756,6
,,thumb_ring,cue_thumb_ring,160045.387966958,,,7
True,thumb_ring,,press_thumb_ring,160046.1936445,thumb_ring,0.8056691670208238,7
,,thumb_index,cue_thumb_index,160049.047997625,,,8
False,thumb_index,,timeout_thumb_index,160053.049347166,,,8
,,thumb_ring,cue_thumb_ring,160056.248260875,,,9
False,thumb_ring,,timeout_thumb_ring,160060.249053166,,,9
,,thumb_middle,cue_thumb_middle,160063.290724208,,,10
True,thumb_middle,,press_thumb_middle,160064.184420375,thumb_middle,0.8936874580103904,10
,,thumb_little,cue_thumb_little,160067.050879,,,11
True,thumb_little,,press_thumb_little,160067.995409083,thumb_little,0.9445217910106294,11
,,thumb_index,cue_thumb_index,160070.96470575,,,12
False,thumb_index,,press_thumb_ring_ERREUR,160071.625473375,thumb_ring,0.6607580830168445,12
,,thumb_middle,cue_thumb_middle,160074.867793625,,,13
True,thumb_middle,,press_thumb_middle,160075.71549425,thumb_middle,0.8476916660147253,13
,,thumb_ring,cue_thumb_ring,160078.663013583,,,14
False,thumb_ring,,press_thumb_index_ERREUR,160080.242928,thumb_index,1.5799059169949032,14
,,thumb_little,cue_thumb_little,160083.192965708,,,15
True,thumb_little,,press_thumb_little,160084.101593083,thumb_little,0.90861854198738,15
,,,experiment_end,160085.904230875,,,
